Id, Firstname, Lastname, Age, Password, Email, alt-Password, MailboxSize 
1, Smith, Jardine, 23, cvf14, Smith.Jardine@decagon.dev, empty, 3
2, Kivell, Morgan, 24, xjq8b, Kivell.Morgan@decagon.dev, empty, 7
3, Gill, Jardine, 28, ifrtt, Gill.Jardine@decagon.dev, empty, 3
4, Jardine, Kivell, 26, a4bqr, Jardine.Kivell@decagon.dev, empty, 3
5, Andrews, Jones, 29, kms66, Andrews.Jones@decagon.dev, empty, 3
6, Gill, Parent, 24, 8z3py, Gill.Parent@decagon.dev, empty, 3
7, Morgan, Jones, 21, hwyef, Morgan.Jones@decagon.dev, empty, 3
8, Andrews, Howard, 26, zoya6, Andrews.Howard@decagon.dev, empty, 3
9, Jardine, Jones, 29, diozv, Jardine.Jones@decagon.dev, empty, 3
10, Kivell, Jones, 23, u3qzi, Kivell.Jones@decagon.dev, empty, 3
11, Gill, Jones, 24, xfxxm, Gill.Jones@decagon.dev, empty, 3
12, Kivell, Sam, 28, dyz92, Kivell.Sam@decagon.dev, empty, 3
13, Jardine, Tessy, 26, 1fe98, Jardine.Tessy@decagon.dev, empty, 3
14, Gill, Parent, 29, c5z8w, Gill.Parent@decagon.dev, empty, 3
15, Morgan, Freeman, 24, c8wb6, Morgan.Freeman@decagon.dev, empty, 3
16, Andrews, Jones, 21, 5x2xo, Andrews.Jones@decagon.dev, empty, 3
17, Smith, Howard, 26, 2pyhf, Smith.Howard@decagon.dev, empty, 3
18, Andrews, Sorvino, 29, kl48k, Andrews.Sorvino@decagon.dev, empty, 3
19, Gill, Sorvino, 30, wqdfe, Gill.Sorvino@decagon.dev, empty, 3
20, Smith, Thompson, 19, pdhcq, Smith.Thompson@decagon.dev, empty, 3
21, Sorvino, Sorvino, 20, t4k14, Sorvino.Sorvino@decagon.dev, empty, 3
