No,Firstname,Lastname,Age,Password,Email,altEmail,MailCapacity
1,Smith,Jardine,23,empty,empty,empty,5
2,Kivell,Morgan,24,empty,empty,empty,5
3,Gill,Jardine,28,empty,empty,empty,5
4,Jardine,Kivell,26,empty,empty,empty,5
5,Andrews,Jones,29,empty,empty,empty,5
6,Gill,Parent,24,empty,empty,empty,5
7,Morgan,Jones,21,empty,empty,empty,5
8,Andrews,Howard,26,empty,empty,empty,5
9,Jardine,Jones,29,empty,empty,empty,5
10,Kivell,Jones,23,empty,empty,empty,5
11,Gill,Jones,24,empty,empty,empty,5
12,Kivell,Sam,28,empty,empty,empty,5
13,Jardine,Tessy,26,empty,empty,empty,5
14,Gill,Parent,29,empty,empty,empty,5
15,Morgan,Freeman,24,empty,empty,empty,5
16,Andrews,Jones,21,empty,empty,empty,5
17,Smith,Howard,26,empty,empty,empty,5
18,Andrews,Sorvino,29,empty,empty,empty,5
19,Gill,Sorvino,30,empty,empty,empty,5
20,Smith,Thompson,19,empty,empty,empty,5
21,Sorvino,Sorvino,20,empty,empty,empty,5
